Frequency [Hz], Amplitude [dB], Phase [deg]
1000, -41.243271, 87.536758
1791.6666666666665, -36.046825, 87.512726
2583.333333333333, -31.088202, 86.669121
3375, -25.734901, 84.602951
4166.666666666666, -18.503325, 78.875206
4958.333333333333, -3.82494, 31.4505
5750, -13.770385, -71.240868
6541.666666666666, -20.701954, -80.418022
7333.333333333333, -24.516823, -83.189476
8125, -27.110901, -84.461998
8916.666666666666, -29.048302, -85.165588
9708.333333333332, -30.594139, -85.552795
10500, -31.885267, -85.844872
11291.666666666666, -32.95406, -86.034836
12083.333333333332, -33.871651, -86.273315
12875, -34.699879, -86.250183
13666.666666666666, -35.445679, -86.445808
14458.333333333332, -36.072124, -86.718742
15250, -36.673866, -86.855133
16041.666666666666, -37.266415, -86.78064
16833.333333333332, -37.810375, -86.747681
17625, -38.257771, -86.492867
18416.666666666664, -38.700176, -86.13929
19208.333333333332, -39.112492, -86.106895
20000, -39.459965, -85.983856
