Frequency [Hz], Amplitude [dB], Phase [deg]
1000, -45.936569, 88.898727
1183.6734693877552, -45.786663, 89.022385
1367.3469387755101, -45.504772, 88.470024
1551.0204081632653, -45.271591, 89.357368
1734.6938775510203, -45.029716, 88.774048
1918.3673469387754, -44.67622, 88.638397
2102.0408163265306, -44.283928, 88.599724
2285.7142857142853, -43.894691, 88.803444
2469.3877551020405, -43.428959, 87.858948
2653.0612244897957, -42.756042, 87.275848
2836.734693877551, -42.104599, 87.639679
3020.408163265306, -41.379822, 87.742355
3204.081632653061, -40.579643, 87.780075
3387.7551020408164, -39.640808, 87.863724
3571.428571428571, -38.512608, 87.551277
3755.1020408163263, -37.156643, 87.274429
3938.7755102040815, -35.695442, 86.902763
4122.448979591836, -33.871605, 86.297195
4306.122448979591, -31.659969, 85.440903
4489.7959183673465, -28.891493, 83.840691
4673.469387755102, -25.126949, 80.736336
4857.142857142857, -19.361528, 73.07193
5040.816326530612, -8.78702, 28.203772
5224.489795918367, -14.962174, -60.961308
5408.163265306122, -22.123142, -75.655624
5591.836734693878, -26.295452, -80.233978
5775.510204081633, -29.149734, -82.487335
5959.183673469387, -31.294909, -83.635178
6142.857142857142, -32.997383, -84.320221
6326.530612244897, -34.398632, -84.89267
6510.204081632653, -35.533291, -85.203812
6693.877551020408, -36.492409, -85.507561
6877.551020408163, -37.317951, -85.716209
7061.224489795918, -38.11615, -85.646576
7244.897959183673, -38.798325, -85.75042
7428.571428571428, -39.307465, -85.60463
7612.244897959184, -39.797558, -85.543358
7795.918367346939, -40.229324, -85.743134
7979.591836734693, -40.60231, -85.716446
8163.265306122448, -40.998314, -85.891281
8346.938775510203, -41.293072, -85.909538
8530.612244897959, -41.624962, -85.890839
8714.285714285714, -41.886066, -85.895187
8897.959183673469, -42.115353, -86.024704
9081.632653061224, -42.294346, -85.756088
9265.30612244898, -42.552982, -85.885452
9448.979591836734, -42.83519, -84.75087
9632.65306122449, -43.009605, -85.475937
9816.326530612245, -43.177937, -84.820808
10000, -43.329079, -84.143974
